OBJEKTKEY;FIRMA;PROGRAMM;ABTEILUNG;USERNAME;STRASSE;POSTLEITZAHL;ORT;TEL FIRMA;FAX FIRMA;TEL USER;USER FUNKTION;ANZAHL MITARB;USER eMAIL;WEITERGABE;FIRMA WWW;PRG VERSION;PRG ANZ USER;PRG MODULE;PRG LIZENZ;PRG PREIS EURO;PRG WART NR;PRG WART GEBUEHR;PRG WART ART;PRG WART %SATZ;ABSCHL DAT;KUEND DAT;KDBER USERNAME;KDBER USERKENN;PRG ANZ MAN;RE FIRMA;RE ABTEILUNG;RE USERNAME;RE STRASSE;RE POSTLEITZAHL;RE ORT;BEST NR;BEST DAT;BEST NAME;RE ANZ COPIES
100000600; High school musical;ROBERT LONGFIELD;;;;;;;;;;581;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000597; Rheingraf Salm Salm;GUSTAV MAHR;;;;;;;;;;578;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000598; The Royal Duke;JEREMIAH CLARKE;;;;;;;;;;580;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000599; The Typewriter;LEROY ANDERSON;;;;;;;;;;579;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000596; Trombone Dreams;STEVE MCMILLAN;;;;;;;;;;577;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000151;20 Tune Ups;;Unbekannt;;;;;;;;;145;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000040;27 Lieder zur Weihnacht;;Unbekannt;;;;;;;;;39;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000169;A Christmas Trilogy;;Elliot Del Borgo;;;;;;;;;162;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000157;A Discovery Fantasy;;Jan de Haan;;;;;;;;;150;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000114;A Mozart Festival;;Clair Johnson;;;;;;;;;110;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000068;A Sailors Adventure;;Kees Vlak;;;;;;;;;250;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000191;A String of Pearls;;Toshio Mashima;;;;;;;;;183;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000120;A Tribute to Elvis;;Thijs Oud;;;;;;;;;115;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000269;A brigde too far;;Rieks van der Velde;;;;;;;;;261;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000386;A sunny Day;;Cathrine Walter;;;;;;;;;375;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000402;AQVA;;Marco Somadossi;;;;;;;;;390;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000078;Abba - Hits for Brass;;Kurt Sorbon;;;;;;;;;75;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000464;Abba Gold;;Ron Sebregts;;;;;;;;;446;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000371;Abschied der Gladiatoren;;Windolf;;;;;;;;;361;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000188;Acht Klankstudies;;Kenk va Lijnschooten;;;;;;;;;180;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000061;African Symphony;;Naohiro Iwai;;;;;;;;;59;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000469;After the LOve is gone;;Paul Murtha;;;;;;;;;450;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000485;Air;;Johann Sebastian Bach;;;;;;;;;466;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000093;Air Pathetique;;Robert van Beringen;;;;;;;;;90;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000312;Aladdin's Theme;;Roland Kerner;;;;;;;;;303;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000199;Alexanders Ragtime Band;;Irving Berlin;;;;;;;;;191;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000109;Alte Kameraden;;Carl Teike;;;;;;;;;105;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000030;Alte Kameraden Swing;;Carl Teike;;;;;;;;;29;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000350;Amboß-Polka;;Franz Josef Breuer;;;;;;;;;341;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000237;American Folklore;;Hans Relfel;;;;;;;;;229;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000095;American Patrol;;Scott Richards;;;;;;;;;92;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000449;An American Elegy;;Frank Tiche;;;;;;;;;431;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000533;An die Gewehre;;Joh. Brussig;;;;;;;;;512;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000270;Andulka-Marsch;;Franz Bummerl;;;;;;;;;262;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000167;Apache;;Willy Hautvast;;;;;;;;;160;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
100000512;Appalachian Overture;JAMES BARNES;;;;;;;;;;493;;;;;1;;;0;KEINEWARTUNG;0;1;0;;;;;1;;;;;;;;;;1
